WARNING:root:2021-12-29 16:26:25.487268, Mouse spotted
WARNING:root:2021-12-29 16:26:25.572017, Mouse spotted
WARNING:root:2021-12-29 16:26:25.663019, Mouse spotted
WARNING:root:2021-12-29 16:26:25.767846, Mouse spotted
WARNING:root:2021-12-29 16:26:25.860400, Mouse spotted
WARNING:root:2021-12-29 16:26:25.945065, Mouse spotted
WARNING:root:2021-12-29 16:26:26.072686, Mouse spotted
WARNING:root:2021-12-29 16:26:26.163875, Mouse spotted
WARNING:root:2021-12-29 16:26:26.239959, Mouse spotted
WARNING:root:2021-12-29 16:26:26.314496, Mouse spotted
WARNING:root:2021-12-29 16:26:26.411629, Mouse spotted
WARNING:root:2021-12-29 16:26:26.487430, Mouse spotted
WARNING:root:2021-12-29 16:26:26.603323, Mouse spotted
WARNING:root:2021-12-29 16:26:26.689733, Mouse spotted
WARNING:root:2021-12-29 16:26:26.764104, Mouse spotted
WARNING:root:2021-12-29 16:26:26.854796, Mouse spotted
WARNING:root:2021-12-29 16:26:26.957953, Mouse spotted
WARNING:root:2021-12-29 16:26:27.074313, Mouse spotted
WARNING:root:2021-12-29 16:26:27.330388, Mouse spotted
WARNING:root:2021-12-29 16:26:27.707287, Mouse spotted
WARNING:root:2021-12-29 16:26:27.800023, Mouse spotted
WARNING:root:2021-12-29 16:26:27.895516, Mouse spotted
WARNING:root:2021-12-29 16:26:27.970194, Mouse spotted
WARNING:root:2021-12-29 16:26:28.043126, Mouse spotted
WARNING:root:2021-12-29 16:26:28.117931, Mouse spotted
WARNING:root:2021-12-29 16:26:28.220264, Mouse spotted
WARNING:root:2021-12-29 16:26:28.299850, Mouse spotted
WARNING:root:2021-12-29 16:26:28.390972, Mouse spotted
WARNING:root:2021-12-29 16:26:28.464729, Mouse spotted
WARNING:root:2021-12-29 16:26:28.551225, Mouse spotted
WARNING:root:2021-12-29 16:26:28.622991, Mouse spotted
WARNING:root:2021-12-29 16:26:28.719774, Mouse spotted
WARNING:root:2021-12-29 16:26:28.793597, Mouse spotted
WARNING:root:2021-12-29 16:26:28.872289, Mouse spotted
WARNING:root:2021-12-29 16:26:28.954435, Mouse spotted
WARNING:root:2021-12-29 16:26:29.025910, Mouse spotted
WARNING:root:2021-12-29 16:26:29.099597, Mouse spotted
WARNING:root:2021-12-29 16:26:29.172544, Mouse spotted
WARNING:root:2021-12-29 16:26:29.262636, Mouse spotted
WARNING:root:2021-12-29 16:26:29.360503, Mouse spotted
WARNING:root:2021-12-29 16:26:29.538165, Mouse spotted
WARNING:root:2021-12-29 16:26:29.612870, Mouse spotted
WARNING:root:2021-12-29 16:26:29.718140, Mouse spotted
WARNING:root:2021-12-29 16:26:35.572738, Mouse spotted
WARNING:root:2021-12-29 16:26:35.769450, Mouse spotted
WARNING:root:2021-12-29 16:26:35.886243, Mouse spotted
WARNING:root:2021-12-29 16:26:35.966070, Mouse spotted
WARNING:root:2021-12-29 16:26:36.042163, Mouse spotted
WARNING:root:2021-12-29 16:26:36.114766, Mouse spotted
WARNING:root:2021-12-29 16:26:36.188313, Mouse spotted
WARNING:root:2021-12-29 16:26:36.262322, Mouse spotted
WARNING:root:2021-12-29 16:26:36.336469, Mouse spotted
WARNING:root:2021-12-29 16:26:36.429262, Mouse spotted
