2021-12-29 18:36:09,065 WARNING Polaroid camera; assault rifle; violin spotted
2021-12-29 18:36:12,125 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:36:15,137 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:36:18,184 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:36:21,243 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:36:24,307 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:36:27,313 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:36:30,371 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:36:33,424 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:36:36,486 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:36:39,492 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:36:42,541 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:36:45,602 WARNING Polaroid camera; assault rifle; reflex camera spotted
2021-12-29 18:36:48,662 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:36:51,665 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:36:54,718 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:36:57,779 WARNING Polaroid camera; assault rifle; reflex camera spotted
2021-12-29 18:37:00,841 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:37:03,847 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:37:06,888 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:37:09,948 WARNING teapot; violin; assault rifle spotted
2021-12-29 18:37:12,988 WARNING seat belt; buckle; teapot spotted
2021-12-29 18:37:16,101 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:37:19,205 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:37:22,278 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:37:25,315 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:37:28,331 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:37:31,385 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:37:34,398 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:37:37,442 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:37:40,464 WARNING teapot; seat belt; Polaroid camera spotted
2021-12-29 18:37:43,519 WARNING violin; assault rifle; Polaroid camera spotted
2021-12-29 18:37:46,557 WARNING teapot; violin; Polaroid camera spotted
2021-12-29 18:37:49,568 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:37:52,609 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:37:55,629 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:37:58,683 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:38:01,749 WARNING assault rifle; Polaroid camera; revolver spotted
2021-12-29 18:38:04,809 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:38:07,828 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:38:10,877 WARNING teapot; violin; assault rifle spotted
2021-12-29 18:38:13,910 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:38:16,970 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:38:20,039 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:38:23,065 WARNING teapot; seat belt; Polaroid camera spotted
2021-12-29 18:38:26,130 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:38:29,166 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:38:32,228 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:38:35,295 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:38:38,325 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:38:41,351 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:38:44,392 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:38:47,406 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:38:50,461 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:38:53,508 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:38:56,571 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:38:59,589 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:39:02,625 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:39:05,676 WARNING teapot; assault rifle; buckle spotted
2021-12-29 18:39:08,816 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:39:11,907 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:39:14,965 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:39:18,004 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:39:21,021 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:39:24,023 WARNING teapot; seat belt; assault rifle spotted
2021-12-29 18:39:27,045 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:39:30,101 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:39:33,108 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:39:36,166 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:39:39,168 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:39:42,222 WARNING teapot; violin; Polaroid camera spotted
2021-12-29 18:39:45,284 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:39:48,347 WARNING teapot; Polaroid camera; violin spotted
2021-12-29 18:39:51,411 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:39:54,473 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:39:57,540 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:40:00,563 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:40:03,595 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:40:06,645 WARNING assault rifle; violin; buckle spotted
2021-12-29 18:40:09,672 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:40:12,686 WARNING teapot; Polaroid camera; seat belt spotted
2021-12-29 18:40:15,694 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:40:18,758 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:40:21,778 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:40:24,840 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:40:27,888 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:40:30,909 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:40:33,915 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:40:36,926 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:40:39,987 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:40:43,031 WARNING teapot; assault rifle; seat belt spotted
2021-12-29 18:40:46,096 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:40:49,155 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:40:52,165 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:40:55,175 WARNING violin; assault rifle; teapot spotted
2021-12-29 18:40:58,237 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:41:01,239 WARNING violin; assault rifle; Polaroid camera spotted
2021-12-29 18:41:04,243 WARNING buckle; teapot; violin spotted
2021-12-29 18:41:07,252 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:41:10,290 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:41:13,341 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:41:16,361 WARNING teapot; violin; assault rifle spotted
2021-12-29 18:41:19,388 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:41:22,415 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:41:25,442 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:41:28,501 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:41:31,564 WARNING teapot; Polaroid camera; violin spotted
2021-12-29 18:41:34,625 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:41:37,686 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:41:40,747 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:41:43,807 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:41:46,872 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:41:49,922 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:41:52,943 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:41:55,985 WARNING teapot; Polaroid camera; seat belt spotted
2021-12-29 18:41:59,014 WARNING teapot; assault rifle; seat belt spotted
2021-12-29 18:42:02,045 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:42:05,061 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:42:08,099 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:42:11,122 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:42:14,125 WARNING buckle; teapot; violin spotted
2021-12-29 18:42:17,150 WARNING assault rifle; Polaroid camera; seat belt spotted
2021-12-29 18:42:20,193 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:42:23,238 WARNING assault rifle; violin; Polaroid camera spotted
2021-12-29 18:42:26,283 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:42:29,300 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:42:32,352 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:42:35,406 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:42:38,464 WARNING assault rifle; buckle; Polaroid camera spotted
2021-12-29 18:42:41,508 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:42:44,571 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:42:47,631 WARNING teapot; Polaroid camera; reflex camera spotted
2021-12-29 18:42:50,711 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:42:53,715 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:42:56,776 WARNING teapot; violin; assault rifle spotted
2021-12-29 18:42:59,817 WARNING assault rifle; violin; buckle spotted
2021-12-29 18:43:02,880 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:43:05,930 WARNING teapot; violin; assault rifle spotted
2021-12-29 18:43:08,992 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:43:12,056 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:43:15,060 WARNING seat belt; teapot; assault rifle spotted
2021-12-29 18:43:18,110 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:43:21,173 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:43:24,234 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:43:27,260 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:43:30,275 WARNING violin; assault rifle; teapot spotted
2021-12-29 18:43:33,295 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:43:36,330 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:43:39,370 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:43:42,425 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:43:45,487 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:43:48,530 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:43:51,561 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:43:54,611 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:43:57,764 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:44:00,775 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:44:03,803 WARNING teapot; Polaroid camera; reflex camera spotted
2021-12-29 18:44:06,868 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:44:09,929 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:44:12,955 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:44:15,978 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:44:18,994 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:44:22,004 WARNING Polaroid camera; teapot; reflex camera spotted
2021-12-29 18:44:25,015 WARNING violin; Polaroid camera; teapot spotted
2021-12-29 18:44:28,133 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:44:31,144 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:44:34,153 WARNING teapot; Polaroid camera; violin spotted
2021-12-29 18:44:37,174 WARNING Polaroid camera; buckle; assault rifle spotted
2021-12-29 18:44:40,314 WARNING buckle; revolver; seat belt spotted
2021-12-29 18:44:43,395 WARNING buckle; suit; seat belt spotted
2021-12-29 18:44:46,534 WARNING buckle; suit; bow tie spotted
2021-12-29 18:44:49,643 WARNING buckle; suit; violin spotted
2021-12-29 18:44:52,693 WARNING buckle; teapot; assault rifle spotted
